"","Unique_ID","Codec","Bitrate","Resolution","Packet_Loss","SSIM","VMAF","MOS","sd_OS","fair_better"
"89",89,1,0,0,4,0.83725,21.09,1.466666667,0.503097749,0
"90",90,1,0,0,5,0.80873,19.6,1.333333333,0.475382689,0
"91",91,1,1,2,0,0.98425,95.51,3.2,0.403375587,1
"92",92,1,1,2,1,0.98106,95.68,3,0.450987617,0.9
"93",93,1,1,2,2,0.91927,62.12,2.583333333,0.530163603,0.6
"94",94,1,1,2,3,0.86211,58.88,1.833333333,0.45720843,0.033333333
"95",95,1,1,2,4,0.85503,58.47,1.7,0.590891312,0.066666667
"96",96,1,1,2,0,0.83583,57.68,1.4,0.494032182,0
"97",97,1,2,2,0,0.9792,94.23,2.966666667,0.366692346,0.916666667
"98",98,1,2,2,1,0.9619,93.44,2.533333333,0.503097749,0.533333333
"99",99,1,2,2,2,0.95668,89.27,2.416666667,0.497167116,0.416666667
"100",100,1,2,2,3,0.89845,82.91,2.1,0.399151643,0.133333333
"101",101,1,2,2,4,0.82904,70.27,1.4,0.494032182,0
"102",102,1,2,2,5,0.76388,57.15,1.066666667,0.251548874,0
"103",103,1,0,2,0,0.99147,98.39,3.633333333,0.609714206,1
"104",104,1,0,2,1,0.96611,91.16,2.7,0.462124791,0.7
